Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Aldynek",161831859,3329734,1849004,1480730,124,-333,167,303,864269,984735,34,6,135,1,116,20,28,46,60,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,8,5,2
"Mikey mike",343719337,4277009,2610113,1666896,156,120,298,267,1513265,1096848,73,2,163,1,170,24,35,47,67,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,13,10,5
"Dan So1o",528497989,4485147,2457003,2028144,121,-88,113,208,1297332,1159671,54,4,128,0,163,17,26,42,69,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,14,7,7
"Thy57",116686274,4884038,2599850,2284188,113,-231,192,272,1280724,1319126,60,6,211,1,163,32,41,50,65,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,11,5,3
"The senat3",543127863,3362162,2094261,1267901,165,-265,286,357,1013640,1080621,57,2,156,1,133,19,36,53,65,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,6,5
"HammerKnife",738554487,6492722,3555070,2937652,121,-142,416,348,1829198,1725872,154,2,325,2,214,37,65,96,120,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,19,9,9
"Krupted",432256136,4160166,2230611,1929555,115,-436,376,292,985281,1245330,51,1,168,1,162,24,34,54,61,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,12,8,5
"Daniel",498517398,4831101,2508107,2322994,107,-240,295,336,1230021,1278086,71,4,252,1,183,34,51,61,72,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,13,8,5
"Thalias",273671943,5329128,2875203,2453925,117,-129,125,165,1488659,1386544,48,5,90,1,242,14,18,52,70,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,15,8,8
"MINI P5ych0",437481762,3367081,1922372,1444709,133,-281,369,350,922988,999384,66,3,190,1,120,30,37,43,56,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,10,7,4
"CodexDragon",934289767,3481001,1863120,1617881,115,-13,96,201,1018255,844865,40,2,30,0,164,0,25,39,55,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,7,5
"JarJare Dingari",585258357,4076752,2434056,1642696,148,264,82,214,1497814,936242,54,2,117,1,178,17,24,40,63,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,11,7,6
"Savage Opress",332968426,7226986,4140102,3086884,134,153,364,425,2434051,1706051,149,4,503,2,240,79,88,119,139,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,22,11,8
"GrandMoffVarthul",446338585,4238333,2573204,1665129,154,-170,159,212,1306175,1267029,54,5,126,1,179,19,23,42,63,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,12,7,6
"Tigerhooligan",653853687,4531400,2692509,1838891,146,300,219,285,1680906,1011603,67,2,187,1,176,26,39,53,75,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,15,8,5
"effbro",634874313,4420549,2337429,2083120,112,44,248,265,1311015,1026414,53,3,192,0,157,31,33,46,55,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,14,7,6
"Yani606",844674628,4045464,2389371,1656093,144,-298,113,250,1137244,1252127,60,4,126,1,153,16,24,52,76,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,14,7,8
"Compass",714279428,3352044,2072085,1279959,161,284,226,357,1285121,786964,69,2,135,1,106,22,35,58,73,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,12,8,6
"Mixtapes",657618997,4514686,2280770,2233916,102,-359,96,263,1051308,1229462,60,3,179,1,184,29,35,48,59,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,13,6,5
"Connendarf",642411643,3765012,2300957,1464055,157,26,91,121,1280386,1020571,41,4,23,0,181,0,11,30,58,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,5,6
